,trade_date,close,state,key_price,append,stop,profit,wave
214,20190418,278.2,0,288.32,0.00,0.0,279.65,1.76
215,20190419,279.5,0,288.32,0.00,0.0,277.8,1.77
216,20190422,280.3,0,288.32,0.00,0.0,277.8,1.77
217,20190423,279.0,0,288.32,0.00,0.0,277.8,1.77
218,20190424,278.85,0,288.32,0.00,0.0,277.8,1.77
219,20190425,280.4,0,288.32,0.00,0.0,277.8,1.78
220,20190426,281.45,0,288.32,0.00,0.0,277.8,1.79
221,20190429,281.3,0,288.32,0.00,0.0,277.8,1.80
222,20190430,281.55,0,288.32,0.00,0.0,277.8,1.78
223,20190506,286.25,0,288.32,0.00,0.0,277.8,1.77
224,20190507,285.7,0,288.32,0.00,0.0,277.8,1.79
225,20190508,287.15,0,288.32,0.00,0.0,277.8,1.79
226,20190509,287.2,0,288.32,0.00,0.0,277.8,1.80
227,20190510,287.25,0,288.32,0.00,0.0,277.8,1.81
228,20190513,289.2,0,288.32,0.00,0.0,277.8,1.81
229,20190514,292.75,0,288.32,0.00,0.0,277.8,1.81
230,20190515,291.25,0,288.32,0.00,0.0,277.8,1.81
231,20190516,292.35,0,288.32,0.00,0.0,277.8,1.82
232,20190517,291.7,0,288.32,0.00,0.0,277.8,1.83
233,20190520,289.4,0,288.32,0.00,0.0,277.8,1.83
234,20190521,289.15,0,288.32,0.00,0.0,277.8,1.84
235,20190522,288.9,0,288.32,0.00,0.0,277.8,1.85
236,20190523,289.35,0,288.32,0.00,0.0,277.8,1.84
237,20190524,291.1,0,288.32,0.00,0.0,277.8,1.84
238,20190527,291.25,0,288.32,0.00,0.0,277.8,1.83
239,20190528,291.0,0,288.32,0.00,0.0,277.8,1.81
240,20190529,291.45,0,288.32,0.00,0.0,277.8,1.80
241,20190530,290.1,0,288.32,0.00,0.0,277.8,1.80
242,20190531,293.45,0,288.32,0.00,0.0,277.8,1.80
243,20190603,296.7,2,296.06,297.86,290.637,277.8,1.81
